CourseID,CourseName,Credits,Department
C0001,عربي,1,كلية الصيدلة
C0002,انجليزي,2,كلية الصيدلة
C0003,انجليزي,1,كلية الهندسة
C0004,عربي,4,كلية التربية
C0005,عربي,4,كلية الصيدلة
C0006,عربي,2,كلية الزراعة
C0007,مهارات تواصل,3,كلية الزراعة
C0008,كيمياء,3,كلية التربية
C0009,كتابة تقارير,1,كلية الصيدلة
C0010,كتابة تقارير,4,كلية الزراعة
C0011,رياضة,1,كلية الصيدلة
C0012,مهارات تواصل,4,كلية الصيدلة
C0013,كيمياء,3,كلية الزراعة
C0014,مهارات تواصل,3,كلية الصيدلة
C0015,عربي,2,كلية الصيدلة
C0016,عربي,3,كلية التربية
C0017,كتابة تقارير,3,كلية الهندسة
C0018,انجليزي,3,كلية الصيدلة
C0019,كتابة تقارير,2,كلية الهندسة
C0020,عربي,3,كلية الصيدلة
C0021,انجليزي,4,كلية الصيدلة
C0022,كيمياء,3,كلية التربية
C0023,عربي,4,كلية التربية
C0024,عربي,2,كلية الهندسة
C0025,رياضة,2,كلية الهندسة
C0026,رياضة,4,كلية الصيدلة
C0027,رياضة,3,كلية الصيدلة
C0028,عربي,3,كلية الزراعة
C0029,رياضة,3,كلية الهندسة
C0030,كيمياء,1,كلية الصيدلة
C0031,مهارات تواصل,1,كلية الزراعة
C0032,كتابة تقارير,1,كلية الهندسة
C0033,فيزياء,2,كلية الصيدلة
C0034,مهارات تواصل,2,كلية التربية
C0035,رياضة,1,كلية الزراعة
C0036,كيمياء,1,كلية الصيدلة
C0037,مهارات تواصل,4,كلية التربية
C0038,مهارات تواصل,1,كلية الزراعة
C0039,مهارات تواصل,3,كلية التربية
C0040,عربي,3,كلية الصيدلة
C0041,مهارات تواصل,3,كلية التربية
C0042,كتابة تقارير,2,كلية الزراعة
C0043,انجليزي,2,كلية الصيدلة
C0044,عربي,4,كلية الزراعة
C0045,رياضة,3,كلية التربية
C0046,عربي,2,كلية الهندسة
C0047,عربي,3,كلية الصيدلة
C0048,كتابة تقارير,1,كلية الهندسة
C0049,كتابة تقارير,1,كلية التربية
C0050,رياضة,3,كلية التربية
C0051,رياضة,4,كلية الزراعة
C0052,انجليزي,2,كلية التربية
C0053,فيزياء,3,كلية الهندسة
C0054,رياضة,2,كلية الصيدلة
C0055,رياضة,2,كلية التربية
C0056,كيمياء,1,كلية الصيدلة
C0057,كيمياء,2,كلية الهندسة
C0058,كتابة تقارير,2,كلية التربية
C0059,كيمياء,3,كلية الزراعة
C0060,مهارات تواصل,1,كلية الزراعة
C0061,مهارات تواصل,4,كلية الصيدلة
C0062,كتابة تقارير,4,كلية الهندسة
C0063,انجليزي,1,كلية الهندسة
C0064,كيمياء,2,كلية الزراعة
C0065,فيزياء,2,كلية الهندسة
C0066,كتابة تقارير,1,كلية الصيدلة
C0067,كتابة تقارير,3,كلية الزراعة
C0068,عربي,2,كلية الزراعة
C0069,كتابة تقارير,3,كلية الهندسة
C0070,رياضة,1,كلية الصيدلة
C0071,مهارات تواصل,3,كلية الصيدلة
C0072,مهارات تواصل,3,كلية الزراعة
C0073,كتابة تقارير,4,كلية التربية
C0074,كتابة تقارير,2,كلية الزراعة
C0075,عربي,1,كلية الهندسة
C0076,رياضة,2,كلية الزراعة
C0077,كيمياء,3,كلية الزراعة
C0078,مهارات تواصل,1,كلية الزراعة
C0079,مهارات تواصل,3,كلية الزراعة
C0080,عربي,3,كلية الصيدلة
C0081,مهارات تواصل,3,كلية الصيدلة
C0082,عربي,3,كلية الهندسة
C0083,كتابة تقارير,1,كلية الصيدلة
C0084,كيمياء,1,كلية الزراعة
C0085,كيمياء,4,كلية التربية
C0086,انجليزي,3,كلية الزراعة
C0087,عربي,2,كلية الزراعة
C0088,كتابة تقارير,4,كلية الزراعة
C0089,كيمياء,3,كلية الزراعة
C0090,رياضة,1,كلية الهندسة
C0091,انجليزي,2,كلية الزراعة
C0092,فيزياء,3,كلية الزراعة
C0093,كيمياء,4,كلية التربية
C0094,مهارات تواصل,3,كلية الصيدلة
C0095,مهارات تواصل,1,كلية الهندسة
C0096,انجليزي,3,كلية الزراعة
C0097,رياضة,1,كلية الزراعة
C0098,كتابة تقارير,3,كلية الصيدلة
C0099,فيزياء,4,كلية الزراعة
C0100,كيمياء,4,كلية الهندسة
C0101,كتابة تقارير,3,كلية الزراعة
C0102,كتابة تقارير,4,كلية الصيدلة
C0103,كتابة تقارير,4,كلية الصيدلة
C0104,فيزياء,1,كلية التربية
C0105,عربي,2,كلية الزراعة
C0106,كتابة تقارير,4,كلية الزراعة
C0107,مهارات تواصل,3,كلية الزراعة
C0108,انجليزي,4,كلية الزراعة
C0109,عربي,3,كلية التربية
C0110,عربي,3,كلية الزراعة
C0111,رياضة,2,كلية الهندسة
C0112,عربي,1,كلية الصيدلة
C0113,رياضة,2,كلية الصيدلة
C0114,كتابة تقارير,4,كلية التربية
C0115,فيزياء,1,كلية التربية
C0116,رياضة,2,كلية الزراعة
C0117,عربي,4,كلية الزراعة
C0118,فيزياء,4,كلية الصيدلة
C0119,فيزياء,4,كلية الصيدلة
C0120,فيزياء,2,كلية الزراعة
