StudentID,CourseID,Semester,Year,Grade
20259432,C3574,الفصل الأول,2021,89
20255203,C7903,الفصل الثاني,2020,78
20251974,C4996,الفصل الأول,2023,97
20251054,C1685,الفصل الأول,2020,93
20257310,C4339,الفصل الثاني,2020,68
20258134,C9598,الفصل الأول,2023,76
20256528,C9948,الفصل الأول,2020,68
20258170,C9564,الفصل الثاني,2021,93
20250662,C1645,الفصل الثاني,2021,74
20258652,C0830,الفصل الثاني,2023,100
20250127,C4764,الفصل الأول,2021,92
20256345,C5693,الفصل الأول,2021,92
20255183,C7516,الفصل الأول,2020,85
20255612,C6683,الفصل الثاني,2023,72
20259246,C7273,الفصل الثاني,2021,85
20259919,C1932,الفصل الأول,2022,65
20250662,C5309,الفصل الثاني,2023,74
20252090,C2758,الفصل الأول,2021,86
20256296,C3675,الفصل الثاني,2021,69
20258394,C8078,الفصل الثاني,2020,55
20259405,C4212,الفصل الثاني,2022,64
20258228,C0138,الفصل الأول,2023,57
20251671,C6518,الفصل الثاني,2020,62
20257927,C2250,الفصل الثاني,2023,71
20250569,C5686,الفصل الثاني,2023,62
20255172,C4379,الفصل الثاني,2020,71
20257038,C5815,الفصل الأول,2021,100
20257832,C1125,الفصل الثاني,2020,59
20250818,C0363,الفصل الثاني,2023,65
20258649,C0149,الفصل الثاني,2020,87
20255596,C7607,الفصل الأول,2022,68
20259944,C8732,الفصل الأول,2021,80
20258698,C1107,الفصل الثاني,2021,54
20257727,C8183,الفصل الأول,2023,61
20251543,C2054,الفصل الأول,2023,99
20254083,C1893,الفصل الثاني,2022,100
20251480,C0093,الفصل الأول,2021,50
20254740,C6028,الفصل الأول,2023,79
20255727,C2762,الفصل الثاني,2023,86
20258271,C4233,الفصل الأول,2020,73
20254971,C1878,الفصل الثاني,2023,73
20259824,C2784,الفصل الثاني,2021,50
20257543,C8120,الفصل الثاني,2023,65
20251543,C2865,الفصل الثاني,2020,84
20253365,C2118,الفصل الثاني,2022,57
20254389,C5677,الفصل الثاني,2020,75
20254669,C0021,الفصل الأول,2020,98
20257539,C0042,الفصل الأول,2023,84
20257357,C2252,الفصل الأول,2021,63
20257323,C2911,الفصل الثاني,2022,67
20253877,C8300,الفصل الثاني,2022,67
20257314,C2460,الفصل الثاني,2020,58
20251920,C1053,الفصل الأول,2023,54
20257877,C7796,الفصل الأول,2022,66
20257071,C1803,الفصل الثاني,2022,94
20251964,C7443,الفصل الأول,2023,98
20252013,C1483,الفصل الثاني,2023,69
20259210,C5603,الفصل الأول,2023,56
20252002,C1613,الفصل الأول,2020,55
20254497,C3451,الفصل الأول,2021,99
20256155,C4060,الفصل الأول,2021,60
20253315,C4921,الفصل الثاني,2020,58
20251942,C9225,الفصل الثاني,2021,82
20257888,C1803,الفصل الأول,2020,75
20258825,C8551,الفصل الثاني,2020,66
20257495,C6841,الفصل الأول,2021,97
20254544,C4108,الفصل الثاني,2020,97
20253312,C0967,الفصل الثاني,2020,92
20257520,C6829,الفصل الثاني,2020,73
20251744,C3624,الفصل الثاني,2022,90
20258867,C8482,الفصل الأول,2023,53
20251201,C5117,الفصل الأول,2020,84
20251642,C1525,الفصل الأول,2023,55
20257163,C0320,الفصل الأول,2023,85
20252967,C8166,الفصل الأول,2022,85
20256521,C4883,الفصل الأول,2021,56
20252690,C5494,الفصل الأول,2022,65
20256481,C2430,الفصل الأول,2022,68
20251631,C1184,الفصل الثاني,2021,78
20255192,C4094,الفصل الثاني,2020,96
20256412,C0808,الفصل الأول,2021,56
20258215,C2352,الفصل الأول,2023,66
20250883,C9623,الفصل الثاني,2020,97
20259999,C1051,الفصل الثاني,2022,88
20254026,C1727,الفصل الثاني,2023,99
20254278,C3839,الفصل الثاني,2023,84
20251905,C9713,الفصل الأول,2020,69
20253344,C9748,الفصل الأول,2022,87
20258852,C4591,الفصل الثاني,2022,69
20251525,C2218,الفصل الثاني,2020,92
20250462,C0605,الفصل الأول,2022,85
20257832,C4871,الفصل الأول,2023,64
20251690,C5797,الفصل الأول,2023,88
20252029,C0894,الفصل الأول,2020,90
20255896,C6122,الفصل الأول,2020,50
20251650,C2062,الفصل الثاني,2022,52
20256893,C0950,الفصل الثاني,2020,75
20258348,C7574,الفصل الثاني,2020,59
20253752,C1577,الفصل الأول,2021,55
20253471,C3653,الفصل الأول,2020,81
20255129,C3473,الفصل الثاني,2020,100
20251642,C9000,الفصل الأول,2023,56
20259412,C6215,الفصل الثاني,2020,56
20250167,C0272,الفصل الأول,2021,99
20253326,C1932,الفصل الأول,2021,53
20259169,C4453,الفصل الثاني,2020,92
20254952,C9458,الفصل الأول,2020,63
20250717,C2951,الفصل الثاني,2022,52
20253593,C9487,الفصل الأول,2023,88
20252695,C7356,الفصل الأول,2021,65
20253467,C7376,الفصل الأول,2020,83
20256005,C3153,الفصل الأول,2021,71
20253499,C9720,الفصل الأول,2020,95
20251252,C6540,الفصل الأول,2023,100
20251984,C8166,الفصل الثاني,2021,97
